This spreadsheet is based on Kedaliya's edition of the Śabdamaṇidarpaṇa of Kēśirāja. See https://github.com/aso2101/kannadaroots.,,,,,,
No.,Root,Meaning (Sanskrit),Meaning (English),Class,Compound?,Textual notes
357,toḍe,sammārjanē,"to wipe, etc..",ḍanta,,
358,naḍe,gamanē,to walk.,ḍanta,,
359,kaṭṭuvaḍe,manōnirõdhe,"the mind to be fettered, etc.",ḍanta,kaṭṭu + paḍe,
360,mogambaḍe,anunayē,to be polite etc.,ḍanta,mogam + paḍe,
361,jēvaḍe,siñjinipraharaṇē,to twang a bow. string (o.r. jēvoḍe).,ḍanta,jē + paḍe,
362,maṇi,namanē,to bow;,ṇanta,,
363,kuṇi,nartanē,to dance.,ṇanta,,
364,tiṇi,saṅkārṇē,"to be mixed together, etc.",ṇanta,,
365,taṇi,tr̥ptau,to be satisfied.,ṇanta,,
366,aṇe,sparśanē,to come in contact with (o.r. aṇi).,ṇanta,,
367,uṇ,bhājanē,to take a meal.,ṇanta,,
368,kāṇ,darśanē,to see.,ṇanta,,
369,māṇ,nivāraṇē,"to cease, etc.",ṇanta,,
370,pūṇ,pratijñāyām,"to promise, to assent, etc.",ṇanta,,
371,paṇ (paṇṇu),sajjikaraṇē,to make ready.,ṇanta,,
372,aṇe,aṅgulipraharaṇē,to strike or propel with the finger.,ṇanta,,see 366
373,soṇe,aṅgulipraharaṇē,"to strike with the fingers, etc.",ṇanta,,
374,peṇe,miśrabandhanē,"to unite miscellaneous things, twist, etc..",ṇanta,,
375,seṇe,krõdhē,to be angry.,ṇanta,,
376,noṇe,gilanē,to swallow.,ṇanta,,
377,toṇe,śaṭārtē,to cheat.,ṇanta,,
378,ottu,ākramaṇē,"to press, etc.",tanta,,
379,suttu,vēṣṭane,to surround.,tanta,,
380,muttu,niṛodhāvaraṇē,"to cover so as to obstruct, hem in.",tanta,,
381,kettu,spandanē,to quiver.,tanta,,
382,kuttu,ghatanē,"to strike, beat.",tanta,,
383,kettu,tanūkaraṇē,"to make thin, chip.",tanta,,
384,tuttu,kabalanē,to take by mouthful.,tanta,,
385,pattu,samślēșē,to be in contact; kalaha-saṅkhyayõḥ a fight; the number 10.,tanta,,
